abnormal,অস্বাভাবিক
abolish,উঠান
abominable,জঘন্য
abominably,জঘন্য পাপাচারণ
abominate,ঘৃণায় পরিহার করা
abomination,কদর্যতা
abort,গর্ভপাত করান
aborted,বন্ধ্যা-করা
abrade,ঘষা
abrasive,ঘষিয়া তুলিয়া ফেলিতে সক্ষম
abrupt,আকস্মিক
abruptly,হঠাৎ
abscond,আত্মগোপন করিয়া থাকা
absence,অনুপস্থিতি
absentee,অনুপস্থিত ব্যক্তি
absurd,কিম্ভুতকিমাকার
absurdity,অর্থহীনতা
absurdly,অদ্ভূত
abuse,অপব্যবহার
abused,নির্যাতিত
abuses,নির্যাতনের
abusive,অবমাননাকর
abysmal,অতল
abysmally,অসম্ভব
abyss,রসাতল
accidental,আপতিক
accost,সম্বোধন
accursed,অভিশপ্ত
accusation,অভিযোগ
accusations,অভিযোগ
accuse,অভিযুক্ত করা
accuses,অভিযুক্ত
accusing,অভিযুক্ত করলেও
accusingly,অভিযোগ করে
acerbate,উত্ত্যক্ত করা
ache,ব্যাথা
aches,ব্যাথা
aching,ধরা
acrid,টক
acrimonious,বদমেজাজি
acrimony,মেজাজ আচরণ ভাষা প্রভৃতির রুক্ষতা
adamant,হীরক
adamantly,অনমনীয়রূপে
addict,উপসেবক
addicted,আসক্ত
addicts,আসক্ত
admonish,সতর্ক করা
admonishment,মৃদু ভর্ত্সনা
admonition,উপদেশ
adulterate,ভেজালযুক্ত
adulterated,ভেজাল
adulteration,ভেজাল
adversary,প্রতিদ্বন্দ্বী
adverse,প্রতিকূল
adversity,বিদ্বেষ
afflict,পীড়িত করা
affliction,দু: খ
afflictive,মর্মন্তুদ
affront,অপমান করা
afraid,ভীত
aggravate,বাড়া
aggravating,বিরক্তিকর
aggravation,অধোগমন
aggression,আক্রমণ
aggressive,আক্রমনাত্মক
aggressiveness,হামলাদারিতা
aggressor,আক্রমণকারী
aggrieve,অসন্তুষ্ট করা
aggrieved,খিন্ন
aghast,বিস্ময়ে হতবুদ্ধি
agonize,পীড়ন করা
agonizing,মানসিক যন্ত্রণাদায়ক
agonizingly,মর্মান্তিকভাবে
agony,নিদারূণ যন্ত্রণা
aground,জলমগ্ন চড়ায়
ail,পীড়িত করা
ailing,দুর্বল
ailment,আময়
aimless,উদ্দেশ্যহীন
alarm,বিপদাশঙ্কা
alarmed,অধীর
alarming,ভীতিকর
alarmingly,আশঙ্কাজনক হারে
alienate,হস্তান্তর করিয়া দেত্তয়া
alienated,বিচ্ছিন্ন
alienation,উন্মত্ততা
allegation,অভিযোগ
allegations,অভিযোগ
allege,সপক্ষে যুক্তি দেখান
allergic,বিরাগসম্পন্ন
allergies,এলার্জি
allergy,এলার্জি
aloof,নির্লিপ্ত
altercation,ঝগড়াঝাঁটি
ambiguity,অস্পষ্টতা
ambiguous,দ্ব্যর্থক
ambivalence,বিরোধ
ambivalent,পরস্পরবিরোধী
ambush,ত্তৎ পাতা
amiss,পথভ্রষ্ট
amputate,অঙ্গচ্ছেদ করা
anarchism,নৈরাজ্যবাদ
anarchist,নৈরাজ্যবাদী
anarchistic,নৈরাজ্যবাদী
anarchy,অরাজকতা
anemic,রক্তহীন
anger,রাগ
angrily,ক্রুদ্ধ
angry,ক্রুদ্ধ
anguish,যন্ত্রণা
animosity,বিদ্বেষ
annihilate,ধ্বংস করা
annihilation,নাশ
annoy,বিরক্ত করা
annoyance,বিরক্তি
annoyed,উত্ত্যক্ত
annoying,বিরক্তিকর
annoys,প্রস্তাবে রেগে
anomalous,ব্যতিক্রমী
anomaly,ব্যতিক্রম
antagonism,বিরোধ
antagonist,বিরোধী
antagonistic,শত্রুভাবাপন্ন
antagonize,প্রতিকূলতা করা
anti,বিরোধী
antisocial,অসামাজিক
antipathy,বিদ্বেষ
antiquated,অপ্রচলিত
antithetical,বিরূদ্ধ
anxieties,উদ্বিগ্নতা
anxiety,উদ্বেগ
anxious,উদ্বিগ্ন
anxiously,জোরে
apathetic,উদাসী
apathy,ঔদাসীন্য
apocalypse,রহস্যোদ্ঘাটন
apocalyptic,রহস্যদঘাটন
apologist,কৈফিয়তদানকারী
apologists,কৈফিয়ৎদাতারা
appall,ভীত করা
appalled,হতভম্ব হয়ে
appalling,আতঙ্কজনক
apprehension,চেতনা
apprehensions,আশঙ্কা
apprehensive,সহজে বুঝিতে সক্ষম
arbitrary,অবাধ
arcane,রহস্যময়
archaic,সেকেলে
arduous,শ্রমসাধ্য
arduously,কষ্টসহকারে
argumentative,বিতর্কমূলক
arrogance,দাম্ভিকতা
arrogant,অহংকারী
arrogantly,অহংকারী
ashamed,লজ্জিত
asinine,গর্দভের
askance,বক্রভাবে
asperse,নিষিক্ত করা
aspersion,কলঙ্ক
assail,প্রাণপণ চেষ্টা করা
assassin,গুপ্তঘাতক
assassinate,গুপ্তহত্যা করা
assault,লাঞ্ছনা
astray,বিপথে
asunder,পরস্পর বিচ্ছিন্ন হইয়া
atrocious,নৃশংস
atrocities,নৃশংসতার
atrocity,নৃশংসতা
atrophy,ক্ষয়িষ্ণুতা
attack,আক্রমণ
attacks,হামলার
audacious,দু: সাহসী
audaciously,তারা মুর্শিদাবাদের
audaciousness,সাহস
audacity,স্পর্ধা
austere,উগ্র
authoritarian,স্বৈরাচারী
autocrat,একনায়ক
autocratic,স্বৈরাচারী
avalanche,ধ্বস
avarice,অর্থলিপ্সা
avaricious,লালস
avariciously,লোভে
avenge,উসুল করা
averse,বিমুখ
aversion,বিরাগ
awful,"ভয়াবহ, আতঙ্কজনক"
awfully,অতিশয়
awkward,বিশ্রী
awkwardness,জবুথবুভাব
backwoods,গ্রামের প্রান্তস্থিত বন
backache,পিঠব্যথা
backbite,নিন্দা করা
backbiting,চুকলি
backward,অনগ্রসর
backwardness,পশ্চাত্পদতা
backwoods,গ্রামের প্রান্তস্থিত বন
bad,খারাপ
badly,খারাপভাবে
baffle,কিংকর্তব্যবিমূঢ় করা
baffled,হতবুদ্ধি
bafflement,বিহ্বলাবস্থা
baffling,বিভ্রান্তিকর
bait,টোপ
balk,কড়িকাঠ
banal,বস্তাপচা
bane,সর্বনাশ
banish,খেদান
banishment,নির্বাসন
bankrupt,দেউলিয়া
barbarian,অসভ্য
barbaric,আদিম
barbarically,বর্বর
barbarity,বর্বরতা
barbarous,বর্বর
barren,অনুর্বর
baseless,ভিত্তিহীন
bash,সজোরে আঘাত
bashful,লাজুক
bastard,জারজ
bastards,বেজন্মাদের
battered,ক্ষত
batty,বাদুড়ে
bearish,অভদ্র
beastly,বদমাশ
bedlam,পাগলা গারদ
bedlamite,পাগল
befoul,কলুষিত করা
beg,প্রার্থনা করা
beggar,ভিক্ষুক
beggarly,অধম
begging,ভিক্ষা
beguile,আমোদিত করা
belabor,খুব প্রহার করা
belated,অন্ধকারের মুখে পতিত
beleaguer,অবরোধ করা
belie,মিথ্যাবাদী বলে
belittle,তুচ্ছতাচ্ছিল্য করা
belittled,ছোট
belittling,মর্যাদা হানি
bellicose,মারমুখো
belligerence,যুধ্যমান অবস্থা
belligerent,যুধ্যমান
bemoan,বিলাপ করা
bemused,বিমূঢ়
bent,নমিত
berate,চোপা করা
bereave,বিচ্ছিন্ন করা
bereavement,আত্মীয়ের মৃতু্য
bereft,প্রি়জন-নিয়োগবিধুর
berserk,পাগল
beseech,সাগ্রহে প্রার্থনা করা
beset,বিজড়িত করা
besiege,নিরোধ করা
besmirch,কলঙ্কিত করা
bestial,পাশব
betray,গুপ্তরহস্য প্রকাশ করা
betrayal,বিশ্বাসঘাতকতা
betrayer,বিশ্বাসঘাতক
betraying,দ্রোহী
betrays,বিশ্বাসঘাতকতা করছে
bewail,শোক প্রকাশ করা
beware,হুঁশিয়ার
bewilder,হতভম্ব করা
bewildered,বুদ্ধিভ্রষ্ট
bewildering,বুদ্ধিভ্রংশজনক
bewilderment,বিহ্বলতা
bewitch,মোহিত করা
bias,পক্ষপাত
biased,পক্ষপাতদুষ্ট
biases,গোঁড়ামির
bicker,বকাবকি
bickering,কলহের
bigotry,ধর্মান্ধতা
bitch,দুশ্চরিত্রা
bitchy,বিদ্বেষপরায়ণ
biting,ব্যঙ্গাত্মক
bitter,তিক্ত
bitterly,ভেঙ্গে
bitterness,তিক্ততা
bizarre,উদ্ভট
blab,বক্বক্ করা
blabber,অনর্থক কথা বলা
blackmail,ব্ল্যাকমেল
blah,বাজে কথা
blame,দোষ
blameworthy,নিন্দনীয়
bland,স্নিগ্ধ
blandish,মানান
blaspheme,অপমান করা
blasphemous,ধর্মহীন
blasphemy,ধর্মনিন্দা
blasted,অভিশপ্ত
blatant,স্থূল
blather,আবোল-তাবোল বলা
bleak,নিরানন্দ
bleakness,নগ্নতা
bleed,রক্ত ঝরা
bleeding,যুদ্ধপীড়িত
blemish,কলঙ্ক
blind,অন্ধ
blinding,দৃষ্টি আচ্ছন্নকারী
blister,ফোস্কা
bloated,স্ফীত
blockage,প্রতিবন্ধকতা
blockhead,নিরেট
bloodshed,রক্তপাত
bloodthirsty,রক্তপিপাসু
bloody,রক্তাক্ত
blotchy,রঙ কালি প্রভৃতির দাগযুক্ত
blow,ঘা
blunder,সাঙ্ঘাতিক ভুল
blundering,জড়ভরত
blunders,সাঙ্ঘাতিক ভুল
blunt,ভোঁতা
blur,দাগ
blurred,অস্পষ্ট
blurring,অস্পষ্টতা
blurry,ঝাপসা
blurs,আবছা করে
blurt,বলে ফেলা
boastful,দাম্ভিক
boggle,ভয়ে চমকাইয়া ত্তঠা
bogus,বাজে
boil,ফুটান
boiling,ফুটন্ত
boisterous,ভীম
bomb,বোমা
bombard,বোমা ছুড়িয়া মারা
bombardment,গোলাবর্ষণ
bombastic,শব্দাড়ম্বরপূর্ণ
bondage,ডোর
bonkers,পাগলাটে
bore,বিরক্ত
bored,উদাস
boredom,একঘেয়েমি
boring,বিরক্তিকর
botch,বিশ্রী দাগ
bother,মাথা ঘামান
bothered,বিরক্ত
bothering,বিরক্ত
bothers,বিরক্তির
bothersome,বিরক্তিকর
bowdlerize,কোনো বইয়ের অশ্লীল অংশ বাদ দেওয়া
boycott,বয়কট
braggart,দম্ভপূর্ণ
brainless,নির্বোধ
brainwash,মগজ-ধোলাই
brash,ঢেকুর
brat,ছোঁড়া
bravado,বাহাদুরি
brazen,নির্লজ্জ
brazenly,নির্লজ্জভাবে
breach,লঙ্ঘন
break,বিরতি
breakup,বিচ্ছিন্ন
breakdown,ভাঙ্গন
breaking,ভঙ্গ
breaks,বিরতি
breakup,বিচ্ছিন্ন
bribery,উত্কোচ গ্রহণ
brimstone,গন্ধক
bristle,কূর্চ
brittle,ভঙ্গুর
broke,কপর্দকশূন্য
broken,ভাঙা
brokenhearted,ভাঙ্গা হৃদয়
brood,শাবক
browbeat,শাসান
bruise,কালশিটে দাগ
bruised,থেঁত
bruises,ক্ষত বিক্ষত
bruising,চূর্ণ
brusque,অশিষ্ট
brutal,পাশবিক
brutalities,নৃশংসতার
brutality,পশুত্ব
brutalize,বর্বর বা নিষ্ঠুর
brutalizing,নির্মম
brutally,নির্মমভাবে
brute,নরপশু
brutish,পাশবিক
buckle,বক্ল
bug,বাগ
buggy,বগী
bugs,বাগ
bulky,ভারী
bull,ষাঁড়
bull,ষাঁড়
bullies,নিগ্রহ
bullshit,বাজে কথা
bully,চমত্কার
bullying,তর্জন
bum,পশ্চাদ্দেশ
bump,আচমকা
bumps,বাধা বিপত্তি
bumpy,অসমান
bungle,অকার্য
bungler,আনাড়ী কর্মী
bungling,অনৈপুণ্য
bunk,পালান
burden,বোঝা
burdensome,দুর্বহ
burn,পোড়া
burned,পোড়া
burning,জ্বলন্ত
burns,পোড়া
bust,বক্ষ
busts,প্রস্ফুটন ও বিস্ফোরনের
busybody,অনধিকারচর্চাকারী
butcher,কসাই
butchery,কসাইখানা
calamities,বিপর্যয়ের
calamitous,বিপজ্জনক
calamity,ক্লেশ
callous,অনুভূতিহীন
calumniate,পরনিন্দা করা
calumniation,নিন্দাকরণ
calumnies,কলঙ্ক
calumnious,নিন্দাসূচক
calumny,অপবাদ
cancer,ক্যান্সার
cancerous,ক্ষয়জনক
cannibal,রাক্ষস
capitulate,আত্মসমর্পণ করা
capricious,খামখেয়ালী
capriciously,খেয়ালখুশিমত
capsize,উলটান
careless,উদ্বেগহীন
carelessness,অসতর্কতা
caricature,ব্যঙ্গচিত্র
carnage,হত্যাকাণ্ড
carp,দোষারোপ করা
castigate,শাস্তি দেত্তয়া
castrated,নপুংসক
casualty,দুর্ঘটনা
cataclysm,প্লাবন
cataclysmic,ভয়ানক
catastrophe,বিপর্যয়কারী ঘটনা
catastrophes,বিপর্যয়
catastrophic,সর্বনাশা
caustic,শ্লেষাত্মক
cautionary,সতর্কীকরণমূলক
cave,গুহা
censure,অনুযোগ
chafe,রাগান
chaff,তুষ
chagrin,বিরক্তি
challenging,চ্যালেঞ্জিং
chaos,বিশৃঙ্খলা
chaotic,বিশৃঙ্খল
chasten,মার্জিত করা
chastise,তাড়ন করা
chastisement,শাস্তি
chatter,অনর্থক কথা বলা
chatterbox,বাচাল
cheap,সস্তা
cheapen,সুলভ করা
cheaply,সস্তায়
cheat,প্রতারণা
cheated,প্রতারিত
cheater,তঁচক
cheating,প্রতারণা
checkered,ছককাটা
cheerless,নিরানন্দ
cheesy,গোলগাল
chide,ভর্ত্সনা করা
childish,শিশুবৎ
chill,শীতলতা
chilly,ঠাণ্ডাভাবে
choke,শ্বাসরোধ
choleric,দজ্জাল
choppy,অস্থির
chore,টুকিটাকি কাজ
chronic,দীর্ঘকালস্থায়ী
chunky,গাঁট্টাগোট্টা
clamor,গোলমাল
clamorous,উচ্চশব্দকারী
clash,সংঘর্ষ
clique,উপদল
clog,খড়ম
clogged,পানি জমে
clogs,খড়ম
cloud,মেঘ
cloudy,মেঘলা
clueless,পুনের
clumsy,কদাকার
clunky,ক্লাঙ্কি
coarse,মোটা
cocky,ধৃষ্ট
coerce,বাধ্য করা
coercion,বলপ্রয়োগ
coercive,বাধ্যকারী
cold,ঠান্ডা
coldly,ঠাণ্ডাভাবে
collapse,পতন
collude,আঁতাত
collusion,সাজশ
combative,রণশীল
combust,বিস্ফোরণ ঘটাতে
comical,হাস্যরসাত্মক
commiserate,সহানুভূতি প্রকাশ করা
commonplace,প্রাকৃত
commotion,তোলপাড়
commotions,বিদ্রোহের
complacent,প্রসন্ন
complain,নালিশ করা
complained,অভিযোগ
complaining,অভিযোগ
complains,অভিযোগ
complaint,অভিযোগ
complaints,অভিযোগ
complex,জটিল
complicated,জটিল
complication,জটিলতা
complicit,আছে complicit
compulsion,বাধ্যবাধকতা
compulsive,অমোঘ
concede,স্বীকার করা
conceded,স্বীকার
conceit,অহমিকা
conceited,আত্মাভিমানী
concern,উদ্বেগ
concerned,উদ্বিগ্ন
concerns,উদ্বেগ
concession,অনুমোদন
concessions,ছাড়
condemn,নিন্দা করা
condemnable,নিন্দার্হ
condemnation,নিন্দা
condemned,নিন্দিত
condemns,অব্যবহার্য বলে ঘোষণা
condescend,নামিয়া আসা
condescending,ক্ষমশীল
condescendingly,প্রসন্ন হওয়ার
condescension,অনুকংপা
confess,স্বীকার করা
confession,স্বীকারোক্তি
confessions,স্বীকারোক্তি
confined,সীমাবদ্ধ
conflict,দ্বন্দ্ব
conflicted,বিরোধ
conflicting,পরম্পরবিরোধী
conflicts,দ্বন্দ্ব
confound,হতবুদ্ধি করা
confounded,কিংকর্তব্যবিমূঢ়
confounding,বিভ্রান্তি
confront,মুখোমুখি
confrontation,মুকাবিলা
confrontational,মুখোমুখী
confuse,গুলান
confused,বিভ্রান্ত
confuses,বিভ্রান্ত
confusing,বিভ্রান্তিকর
confusion,বিশৃঙ্খলা
confusions,বিভ্রান্তি
congested,ঘনবসতিপূর্ণ
congestion,পূর্ণতা
cons,কনস
conservative,রক্ষণশীল
conspicuous,সুস্পষ্ট
conspicuously,লক্ষণীয়ভাবে
conspiracies,ষড়যন্ত্র
conspiracy,চক্রান্ত
conspirator,চক্রান্তকারী
conspiratorial,ষড়্যন্ত্র-সংক্রান্ত
conspire,চক্রান্ত
consternation,ত্রাস
contagious,সংক্রামক
contaminate,অর্সা
contaminated,কলুষিত
contamination,অপবিত্রতা
contempt,অবজ্ঞা
contemptible,নীচ
contemptuous,ঘৃণাপূর্ণ
contemptuously,ঘৃণাপূর্ণভাবে
contend,তর্কবিতর্ক করা
contention,তর্ক
contentious,কুস্বভাব
contort,মুচড়ান
contortions,প্যাঁচাল
contradict,অস্বীকার করা
contradiction,অসঙ্গতি
contradictory,পরস্পরবিরোধী
contrariness,বিরূদ্ধতা
contravene,লঙ্ঘন করা
contrive,কার্যসাধন করা
contrived,কল্পিত
controversial,বিতর্কমূলক
controversy,বিতর্ক
convoluted,সংবর্ত
corrode,জারা
corrosion,জারা
corrosive,জারক
corrupt,দূষিত
corrupted,দূষিত
corrupting,কলুষিত
corruption,দুর্নীতি
corrupts,দূষিত করে
costlier,ব্যয়বহুল
costly,ব্যয়বহুল
covetous,লোভী
coward,ভীরু
cowardly,অবীর
crabby,কর্কশ
crack,ফাটল
cracked,কর্কশ
cracks,ফাটল
craftily,ছলনা করিয়া
crafty,ধূর্ত
cramp,খিল ধরান
cramped,আবদ্ধ
cranky,খামখেয়ালী
crap,বিষ্ঠা
crappy,ন্যক্কারজনক
craps,পাশার জুয়া
crash,ক্র্যাশ
crashed,ক্র্যাশ
crashes,বিপর্যস্ত
crashing,বিপর্যয়
crass,সংবেদনহীন
craven,নীচ
craze,উন্মত্ততা
crazily,পাগলের মতো
craziness,পাগলামি
crazy,পাগল
creak,কড়্কড়্ শব্দ
credulous,বিশ্বাসপ্রবণ
creep,হামাগুড়ি
creeping,লতানে
creeps,শরীর শির্শির করা
creepy,ছম্ছমে
crime,অপরাধ
criminal,অপরাধী
cringe,ধামা ধরা
cringed,নতি
cringes,ঘৃনা করেন
cripple,কাক
crippled,বিকলাঙ্গ
cripples,অচল
crippling,অসমর্থকরণ
crisis,সঙ্কট
critic,সমালোচক
critical,সংকটপূর্ণ
criticism,সমালোচনা
criticisms,সমালোচনা
criticize,সমালোচনা করা
criticized,সমালোচনা
criticizing,সমালোচনা
critics,সমালোচকদের
crook,বাঁক
crooked,কুটিল
crooks,কথা বলবেন সে ধোঁকাবাজ
crowded,জনাকীর্ণ
crude,অশোধিত
cruel,নিষ্ঠুর
cruelest,নিষ্ঠুরতম
cruelly,নিষ্ঠুরভাবে
cruelties,নিষ্ঠুরতার
cruelty,নিষ্ঠুরতা
crumble,টুকরা টুকরা করা
crummy,টুকরা টুকরা
crumple,ভাঁজ করা
crumpled,লাট
crush,পিষা
crushed,চূর্ণ
crushing,নিষ্পেষণ
cry,কান্না
culpable,নিন্দনীয়
culprit,অভিযুক্ত ব্যক্তি
cumbersome,কষ্টকর
cunt,কান্ট
cunts,বড়ো
curse,অভিশাপ
cursed,অভিশপ্ত
curses,অভিশাপ
curt,চাঁচাছোলা
cuss,অভিশাপ
cussed,বেয়াড়া
cutthroat,গলাকাটা
cynical,কঠোর
damaged,ক্ষতিগ্রস্ত
damages,ক্ষতিটি
damaging,ক্ষতিকর
damn,অভিশাপ
damnable,জঘন্য
damnably,নরকযন্ত্রণায়
damnation,অভিশাপ
damned,জঘন্য
damning,প্রাণনাশক
damper,দাম্পের
danger,ঝুঁকি
dangerous,বিপজ্জনক
dark,অন্ধকার
darken,অন্ধকার করা
darkened,কালো
darker,গাঢ়
darkness,অন্ধকার
dastard,কাপুরূষ
dastardly,কাপুধ়ষোচিত
daunt,ভীত করা
daunting,কঠিন
dawdle,আলস্যে কাটান
daze,ধাঁধা
dazed,ঝলসান
dead,মৃত
deadlock,অচল অবস্থা
deadly,মারাত্মক
deaf,বধির
dearth,অভাব
death,মরণ
debacle,ছত্রভঙ্গ
debase,অপকৃষ্ট করা
debasement,অপকৃষ্টতা
debatable,তর্কসাধ্য
debauch,লম্পট করা
debauchery,লাম্পট্য
debilitate,দুর্বল করা
debility,দৌর্বল্য
debt,ঋণ
debts,ঋণ
decadence,অবক্ষয়
decadent,অধ: পতিত
decay,ক্ষয়
decayed,জীর্ণ
deceit,শঠতা
deceitful,শঠ
deceitfully,মিথ্যা
deceitfulness,ভুলতা
deceive,ছলা
deceiver,ঠগ
deceivers,প্রতারকদের
deceiving,ধোঁকাবাজ
deception,প্রতারণা
deceptive,কূট
deceptively,চাতুরীর সাথে
declaim,আবৃত্তি করা
decline,পতন
declines,হ্রাসের
declining,পড়ন্ত
decrement,হ্রাস
decrepit,জরাজীর্ণ
decrepitude,জরাজীর্ণতা
decry,সমালোচনা করা
defamation,মানহানি
defamatory,মানহানিকর
defame,কুত্সা করা
defect,খুঁত
defective,ত্রুটিপূর্ণ
defects,অপূর্ণতা
defensive,আত্মরক্ষামূলক
defiance,দ্বন্দ্বার্থ আহ্বান
defiant,দ্বন্দ্বার্থ সম্মুখীন
defiantly,ক্ষোভের সঙ্গে
deficiencies,ঘাটতি
deficiency,অভাব
deficient,ন্যূন
defile,গিরিসঙ্কট
deform,আকৃতি বিকৃত করা
deformed,অঙ্গবিহীন
defrauding,প্রতারণা
defunct,বিলুপ্ত
defy,কলা দেখান
degenerate,অধ: পতিত
degeneration,পতন
degradation,ক্ষয়
degrade,অধ: পতন করা
degrading,অধ: পতিত
dehumanization,অমানবীকরণ
dehumanize,ডেহুমনায্স্ করা
deign,প্রসন্ন হত্তয়া
deject,মনমরা করা
dejected,মনমরা
dejectedly,বিষণ্নভাবে
dejection,নৈরাশা
delay,বিলম্ব
delayed,বিলম্বিত
delaying,বিলম্বী
delays,বিলম্ব
delinquency,কর্তব্যে অবহেলা
delinquent,অপরাধী
delirious,উন্মত্ত
delirium,প্রলাপ
delude,অভিভূত করা
deluded,ঠগ
